,sal,rooz,Month,zarrineh_Debi
3676,1371,19,5,6.23
3677,1371,20,5,6.56
3678,1371,21,5,6.56
3679,1371,22,5,6.23
3680,1371,23,5,4.86
3681,1371,24,5,4.86
3682,1371,25,5,4.86
3683,1371,26,5,4.86
3684,1371,27,5,4.86
3685,1371,28,5,4.86
3686,1371,29,5,4.86
3687,1371,30,5,3.82
3688,1371,31,5,4.34
4557,1371,1,6,3.82
4558,1371,2,6,3.82
4559,1371,3,6,3.3
4560,1371,4,6,3.3
4561,1371,5,6,3.3
4562,1371,6,6,3.3
4563,1371,7,6,3.3
4564,1371,8,6,3.82
4565,1371,9,6,3.56
4566,1371,10,6,3.56
4567,1371,11,6,3.56
4568,1371,12,6,3.3
4569,1371,13,6,3.3
4570,1371,14,6,3.56
4571,1371,15,6,3.56
4572,1371,16,6,3.56
4573,1371,17,6,3.56
4574,1371,18,6,3.82
4575,1371,19,6,3.56
4576,1371,20,6,3.3
4577,1371,21,6,3.82
4578,1371,22,6,3.82
4579,1371,23,6,3.82
4580,1371,24,6,3.82
4581,1371,25,6,4.08
4582,1371,26,6,3.56
4583,1371,27,6,3.3
4584,1371,28,6,3.56
4585,1371,29,6,3.56
4586,1371,30,6,5.12
4587,1371,31,6,6.89
5456,1371,1,7,5.12
5457,1371,2,7,6.23
5458,1371,3,7,6.56
5459,1371,4,7,6.56
5460,1371,5,7,7.22
5461,1371,6,7,7.55
5462,1371,7,7,6.89
5463,1371,8,7,6.89
5464,1371,9,7,6.89
5465,1371,10,7,7.22
5466,1371,11,7,8.54
5467,1371,12,7,7.55
5468,1371,13,7,7.55
5469,1371,14,7,8.87
5470,1371,15,7,9.63
5471,1371,16,7,9.63
5472,1371,17,7,8.54
5473,1371,18,7,8.54
5474,1371,19,7,8.54
5475,1371,20,7,8.54
5476,1371,21,7,9.2
5477,1371,22,7,9.2
5478,1371,23,7,9.63
5479,1371,24,7,10.06
5480,1371,25,7,10.06
5481,1371,26,7,10.06
5482,1371,27,7,10.06
5483,1371,28,7,10.06
5484,1371,29,7,9.63
5485,1371,30,7,8.21
5486,1371,31,7,
6355,1371,1,8,8.21
6356,1371,2,8,8.21
6357,1371,3,8,8.21
6358,1371,4,8,8.21
6359,1371,5,8,8.21
6360,1371,6,8,8.21
6361,1371,7,8,8.21
6362,1371,8,8,7.88
6363,1371,9,8,7.88
6364,1371,10,8,8.21
6365,1371,11,8,8.54
6366,1371,12,8,7.88
6367,1371,13,8,7.88
6368,1371,14,8,7.88
6369,1371,15,8,7.88
6370,1371,16,8,9.2
6371,1371,17,8,19.0
6372,1371,18,8,23.8
6373,1371,19,8,19.6
6374,1371,20,8,20.2
6375,1371,21,8,19.0
6376,1371,22,8,17.35
6377,1371,23,8,19.0
6378,1371,24,8,18.45
6379,1371,25,8,17.9
6380,1371,26,8,20.8
6381,1371,27,8,19.6
6382,1371,28,8,19.6
6383,1371,29,8,18.45
6384,1371,30,8,20.2
6385,1371,31,8,
7254,1371,1,9,20.8
7255,1371,2,9,25.0
7256,1371,3,9,27.1
7257,1371,4,9,29.2
7258,1371,5,9,28.5
7259,1371,6,9,26.4
7260,1371,7,9,26.4
7261,1371,8,9,25.0
7262,1371,9,9,26.4
7263,1371,10,9,26.4
7264,1371,11,9,25.7
7265,1371,12,9,29.2
7266,1371,13,9,29.2
7267,1371,14,9,29.2
7268,1371,15,9,29.2
7269,1371,16,9,27.8
