,sal,rooz,Month,nazloo_Debi
4222,1331,7,3,29.0
4223,1331,8,3,35.0
4224,1331,9,3,32.0
4225,1331,10,3,31.0
4226,1331,11,3,30.0
4227,1331,12,3,29.0
4228,1331,13,3,29.0
4229,1331,14,3,28.0
4230,1331,15,3,26.0
4231,1331,16,3,29.0
4232,1331,17,3,34.0
4233,1331,18,3,29.0
4234,1331,19,3,26.0
4235,1331,20,3,26.0
4236,1331,21,3,25.0
4237,1331,22,3,25.0
4238,1331,23,3,24.0
4239,1331,24,3,22.0
4240,1331,25,3,21.0
4241,1331,26,3,20.0
4242,1331,27,3,20.0
4243,1331,28,3,19.0
4244,1331,29,3,19.0
4245,1331,30,3,18.0
4246,1331,31,3,17.0
6293,1331,1,4,19.0
6294,1331,2,4,17.0
6295,1331,3,4,16.0
6296,1331,4,4,16.0
6297,1331,5,4,15.0
6298,1331,6,4,15.0
6299,1331,7,4,14.0
6300,1331,8,4,13.0
6301,1331,9,4,12.0
6302,1331,10,4,12.0
6303,1331,11,4,11.0
6304,1331,12,4,11.0
6305,1331,13,4,10.0
6306,1331,14,4,10.0
6307,1331,15,4,9.8
6308,1331,16,4,9.2
6309,1331,17,4,9.2
6310,1331,18,4,9.2
6311,1331,19,4,8.8
6312,1331,20,4,9.2
6313,1331,21,4,8.8
6314,1331,22,4,8.8
6315,1331,23,4,8.4
6316,1331,24,4,8.2
6317,1331,25,4,8.2
6318,1331,26,4,8.2
6319,1331,27,4,8.2
6320,1331,28,4,8.0
6321,1331,29,4,7.4
6322,1331,30,4,7.4
6323,1331,31,4,7.3
8370,1331,1,5,8.2
8371,1331,2,5,9.4
8372,1331,3,5,10.0
8373,1331,4,5,8.0
8374,1331,5,5,6.7
8375,1331,6,5,22.0
8376,1331,7,5,17.0
8377,1331,8,5,10.0
8378,1331,9,5,8.2
8379,1331,10,5,8.8
8380,1331,11,5,6.7
8381,1331,12,5,6.4
8382,1331,13,5,6.2
8383,1331,14,5,6.2
8384,1331,15,5,6.1
8385,1331,16,5,5.9
8386,1331,17,5,5.9
8387,1331,18,5,6.1
8388,1331,19,5,6.1
8389,1331,20,5,5.9
8390,1331,21,5,5.9
8391,1331,22,5,5.7
8392,1331,23,5,5.7
8393,1331,24,5,5.7
8394,1331,25,5,5.7
8395,1331,26,5,5.3
8396,1331,27,5,5.3
8397,1331,28,5,5.1
8398,1331,29,5,5.1
8399,1331,30,5,4.8
8400,1331,31,5,4.6
10447,1331,1,6,4.6
10448,1331,2,6,4.6
10449,1331,3,6,4.4
10450,1331,4,6,4.4
10451,1331,5,6,4.2
10452,1331,6,6,4.2
10453,1331,7,6,4.2
10454,1331,8,6,4.1
10455,1331,9,6,4.1
10456,1331,10,6,4.0
10457,1331,11,6,3.9
10458,1331,12,6,3.9
10459,1331,13,6,3.8
10460,1331,14,6,3.8
10461,1331,15,6,3.6
10462,1331,16,6,3.6
10463,1331,17,6,3.6
10464,1331,18,6,3.5
10465,1331,19,6,3.5
10466,1331,20,6,3.5
10467,1331,21,6,3.3
10468,1331,22,6,3.3
10469,1331,23,6,3.3
10470,1331,24,6,3.3
10471,1331,25,6,3.3
10472,1331,26,6,3.3
10473,1331,27,6,3.3
10474,1331,28,6,3.3
10475,1331,29,6,3.3
10476,1331,30,6,3.5
10477,1331,31,6,3.6
12524,1331,1,7,3.7
12525,1331,2,7,3.7
12526,1331,3,7,3.7
12527,1331,4,7,4.2
12528,1331,5,7,3.6
12529,1331,6,7,3.7
12530,1331,7,7,3.6
12531,1331,8,7,3.7
12532,1331,9,7,3.7
12533,1331,10,7,3.7
12534,1331,11,7,3.7
12535,1331,12,7,3.6
12536,1331,13,7,3.6
12537,1331,14,7,3.6
12538,1331,15,7,3.6
12539,1331,16,7,3.6
12540,1331,17,7,3.5
12541,1331,18,7,3.5
12542,1331,19,7,3.3
12543,1331,20,7,3.2
12544,1331,21,7,3.2
12545,1331,22,7,3.2
12546,1331,23,7,3.3
12547,1331,24,7,3.2
12548,1331,25,7,3.3
12549,1331,26,7,3.5
12550,1331,27,7,3.5
12551,1331,28,7,3.6
12552,1331,29,7,3.6
12553,1331,30,7,3.8
12554,1331,31,7,
14601,1331,1,8,3.7
14602,1331,2,8,3.6
14603,1331,3,8,3.6
14604,1331,4,8,3.7
14605,1331,5,8,3.6
14606,1331,6,8,3.8
14607,1331,7,8,4.0
14608,1331,8,8,4.0
14609,1331,9,8,4.0
14610,1331,10,8,4.2
14611,1331,11,8,4.1
14612,1331,12,8,3.8
14613,1331,13,8,3.7
14614,1331,14,8,3.7
14615,1331,15,8,3.8
14616,1331,16,8,4.0
14617,1331,17,8,3.8
14618,1331,18,8,3.8
14619,1331,19,8,3.8
14620,1331,20,8,3.8
14621,1331,21,8,3.8
14622,1331,22,8,3.8
14623,1331,23,8,4.0
14624,1331,24,8,4.1
14625,1331,25,8,4.2
14626,1331,26,8,4.2
14627,1331,27,8,4.4
14628,1331,28,8,4.4
14629,1331,29,8,4.6
14630,1331,30,8,4.6
14631,1331,31,8,
16678,1331,1,9,4.2
16679,1331,2,9,4.0
16680,1331,3,9,4.4
16681,1331,4,9,4.4
16682,1331,5,9,4.4
16683,1331,6,9,4.4
16684,1331,7,9,4.4
16685,1331,8,9,4.2
16686,1331,9,9,4.2
16687,1331,10,9,4.1
16688,1331,11,9,4.1
