,sal,rooz,Month,zola_Debi
8423,1354,23,7,3.49
8424,1354,24,7,3.05
8425,1354,25,7,3.05
8426,1354,26,7,2.65
8427,1354,27,7,2.39
8428,1354,28,7,2.12
8429,1354,29,7,1.86
8430,1354,30,7,1.75
8431,1354,31,7,
9796,1354,1,8,1.64
9797,1354,2,8,1.54
9798,1354,3,8,1.43
9799,1354,4,8,1.32
9800,1354,5,8,1.43
9801,1354,6,8,1.32
9802,1354,7,8,1.32
9803,1354,8,8,1.32
9804,1354,9,8,1.1
9805,1354,10,8,1.1
9806,1354,11,8,1.1
9807,1354,12,8,1.0
9808,1354,13,8,1.0
9809,1354,14,8,1.0
9810,1354,15,8,1.1
9811,1354,16,8,1.0
9812,1354,17,8,1.1
9813,1354,18,8,1.0
9814,1354,19,8,1.1
9815,1354,20,8,1.0
9816,1354,21,8,1.1
9817,1354,22,8,1.0
9818,1354,23,8,1.1
9819,1354,24,8,1.1
9820,1354,25,8,1.1
9821,1354,26,8,1.1
9822,1354,27,8,1.0
9823,1354,28,8,1.1
9824,1354,29,8,1.1
9825,1354,30,8,1.0
9826,1354,31,8,
11191,1354,1,9,1.1
11192,1354,2,9,1.1
11193,1354,3,9,1.21
11194,1354,4,9,1.21
11195,1354,5,9,1.1
11196,1354,6,9,1.21
11197,1354,7,9,1.21
11198,1354,8,9,1.1
11199,1354,9,9,1.21
11200,1354,10,9,1.1
11201,1354,11,9,1.21
11202,1354,12,9,1.21
11203,1354,13,9,1.21
11204,1354,14,9,1.32
11205,1354,15,9,1.21
11206,1354,16,9,1.32
11207,1354,17,9,1.43
11208,1354,18,9,1.32
11209,1354,19,9,1.32
11210,1354,20,9,1.32
11211,1354,21,9,1.43
11212,1354,22,9,1.21
11213,1354,23,9,1.32
11214,1354,24,9,1.11
11215,1354,25,9,1.21
11216,1354,26,9,1.11
11217,1354,27,9,1.51
11218,1354,28,9,1.54
11219,1354,29,9,1.43
11220,1354,30,9,1.43
11221,1354,31,9,
12586,1354,1,10,1.54
12587,1354,2,10,1.54
12588,1354,3,10,1.43
12589,1354,4,10,1.54
12590,1354,5,10,1.54
12591,1354,6,10,1.75
12592,1354,7,10,1.64
12593,1354,8,10,1.75
12594,1354,9,10,1.86
12595,1354,10,10,1.99
12596,1354,11,10,2.12
12597,1354,12,10,2.12
12598,1354,13,10,2.12
12599,1354,14,10,1.99
12600,1354,15,10,2.12
12601,1354,16,10,2.12
12602,1354,17,10,2.12
12603,1354,18,10,2.12
12604,1354,19,10,2.26
12605,1354,20,10,2.26
12606,1354,21,10,2.12
12607,1354,22,10,2.12
12608,1354,23,10,2.39
12609,1354,24,10,2.39
12610,1354,25,10,2.39
12611,1354,26,10,2.52
12612,1354,27,10,2.65
12613,1354,28,10,2.52
12614,1354,29,10,2.65
12615,1354,30,10,2.65
12616,1354,31,10,
13981,1354,1,11,2.39
13982,1354,2,11,2.26
13983,1354,3,11,2.26
13984,1354,4,11,2.2
13985,1354,5,11,2.39
13986,1354,6,11,2.26
13987,1354,7,11,2.26
13988,1354,8,11,2.39
13989,1354,9,11,2.26
13990,1354,10,11,2.26
13991,1354,11,11,2.12
13992,1354,12,11,2.26
13993,1354,13,11,2.12
13994,1354,14,11,2.12
13995,1354,15,11,2.26
13996,1354,16,11,2.26
13997,1354,17,11,2.26
13998,1354,18,11,2.12
13999,1354,19,11,2.26
14000,1354,20,11,2.39
14001,1354,21,11,2.52
14002,1354,22,11,2.39
14003,1354,23,11,2.39
14004,1354,24,11,2.39
14005,1354,25,11,2.39
14006,1354,26,11,2.39
