,sal,rooz,Month,chehrig_olia_EV
68,1365,7,1,
69,1365,8,1,
70,1365,9,1,
71,1365,10,1,
72,1365,11,1,
73,1365,12,1,
74,1365,13,1,
75,1365,14,1,
76,1365,15,1,
77,1365,16,1,
78,1365,17,1,
79,1365,18,1,
80,1365,19,1,
81,1365,20,1,
82,1365,21,1,
83,1365,22,1,
84,1365,23,1,
85,1365,24,1,
86,1365,25,1,
87,1365,26,1,
88,1365,27,1,
89,1365,28,1,
90,1365,29,1,
91,1365,30,1,
92,1365,31,1,
1643,1365,1,2,1.1
1644,1365,2,2,1.1
1645,1365,3,2,2.3
1646,1365,4,2,5.7
1647,1365,5,2,11.0
1648,1365,6,2,5.7
1649,1365,7,2,4.5
1650,1365,8,2,4.5
1651,1365,9,2,6.8
1652,1365,10,2,6.8
1653,1365,11,2,9.1
1654,1365,12,2,14.8
1655,1365,13,2,11.3
1656,1365,14,2,8.0
1657,1365,15,2,8.0
1658,1365,16,2,6.8
1659,1365,17,2,6.8
1660,1365,18,2,6.8
1661,1365,19,2,12.6
1662,1365,20,2,8.1
1663,1365,21,2,8.1
1664,1365,22,2,8.1
1665,1365,23,2,8.1
1666,1365,24,2,6.8
1667,1365,25,2,8.0
1668,1365,26,2,7.3
1669,1365,27,2,7.3
1670,1365,28,2,7.3
1671,1365,29,2,6.2
1672,1365,30,2,7.3
1673,1365,31,2,6.2
3224,1365,1,3,9.1
3225,1365,2,3,9.1
3226,1365,3,3,10.2
3227,1365,4,3,10.2
3228,1365,5,3,10.2
3229,1365,6,3,8.0
3230,1365,7,3,9.1
3231,1365,8,3,6.8
3232,1365,9,3,6.6
3233,1365,10,3,9.1
3234,1365,11,3,11.3
3235,1365,12,3,16.0
3236,1365,13,3,13.6
3237,1365,14,3,12.6
3238,1365,15,3,9.1
3239,1365,16,3,10.2
3240,1365,17,3,10.2
3241,1365,18,3,10.2
3242,1365,19,3,10.2
3243,1365,20,3,9.1
3244,1365,21,3,9.1
3245,1365,22,3,8.8
3246,1365,23,3,9.1
3247,1365,24,3,8.0
3248,1365,25,3,10.7
3249,1365,26,3,7.4
3250,1365,27,3,8.0
3251,1365,28,3,8.0
3252,1365,29,3,7.1
3253,1365,30,3,8.0
3254,1365,31,3,9.1
4805,1365,1,4,9.1
4806,1365,2,4,11.3
4807,1365,3,4,11.3
4808,1365,4,4,14.8
4809,1365,5,4,13.6
4810,1365,6,4,15.2
4811,1365,7,4,13.6
4812,1365,8,4,13.6
4813,1365,9,4,11.3
4814,1365,10,4,9.1
4815,1365,11,4,9.1
4816,1365,12,4,9.1
4817,1365,13,4,8.0
4818,1365,14,4,9.1
4819,1365,15,4,9.1
4820,1365,16,4,12.6
4821,1365,17,4,11.3
4822,1365,18,4,11.3
4823,1365,19,4,13.6
4824,1365,20,4,13.6
4825,1365,21,4,13.6
4826,1365,22,4,11.3
4827,1365,23,4,13.6
