,sal,rooz,Month,golman_abShirin_EV
14722,1369,29,12,
14723,1369,30,12,
14724,1369,31,12,
62,1371,1,1,0.1
63,1371,2,1,0.1
64,1371,3,1,0.1
65,1371,4,1,0.1
66,1371,5,1,0.1
67,1371,6,1,0.1
68,1371,7,1,0.1
69,1371,8,1,3.1
70,1371,9,1,2.5
71,1371,10,1,3.8
72,1371,11,1,3.9
73,1371,12,1,3.9
74,1371,13,1,1.2
75,1371,14,1,3.3
76,1371,15,1,3.5
77,1371,16,1,4.4
78,1371,17,1,3.5
79,1371,18,1,2.7
80,1371,19,1,0.7
81,1371,20,1,2.2
82,1371,21,1,2.5
83,1371,22,1,2.4
84,1371,23,1,3.9
85,1371,24,1,3.3
86,1371,25,1,2.6
87,1371,26,1,2.8
88,1371,27,1,4.5
89,1371,28,1,3.9
90,1371,29,1,3.9
91,1371,30,1,4.8
92,1371,31,1,5.0
1395,1371,1,2,2.4
1396,1371,2,2,5.2
1397,1371,3,2,3.5
1398,1371,4,2,4.2
1399,1371,5,2,2.0
1400,1371,6,2,3.7
1401,1371,7,2,3.9
1402,1371,8,2,0.9
1403,1371,9,2,2.8
1404,1371,10,2,3.1
1405,1371,11,2,3.9
1406,1371,12,2,1.8
1407,1371,13,2,3.5
1408,1371,14,2,2.4
1409,1371,15,2,4.3
1410,1371,16,2,2.3
1411,1371,17,2,2.1
1412,1371,18,2,3.3
1413,1371,19,2,4.8
1414,1371,20,2,3.1
1415,1371,21,2,3.7
1416,1371,22,2,4.1
1417,1371,23,2,2.6
1418,1371,24,2,5.2
1419,1371,25,2,5.2
1420,1371,26,2,6.1
1421,1371,27,2,5.7
1422,1371,28,2,6.1
1423,1371,29,2,4.2
1424,1371,30,2,3.7
1425,1371,31,2,5.9
2728,1371,1,3,5.2
2729,1371,2,3,4.4
2730,1371,3,3,4.8
2731,1371,4,3,5.2
2732,1371,5,3,6.1
2733,1371,6,3,6.1
2734,1371,7,3,8.7
2735,1371,8,3,7.0
2736,1371,9,3,6.1
2737,1371,10,3,4.8
2738,1371,11,3,6.0
2739,1371,12,3,6.6
2740,1371,13,3,5.5
2741,1371,14,3,4.5
2742,1371,15,3,6.1
2743,1371,16,3,7.9
2744,1371,17,3,7.0
2745,1371,18,3,5.2
2746,1371,19,3,7.0
2747,1371,20,3,6.1
2748,1371,21,3,8.7
2749,1371,22,3,7.0
2750,1371,23,3,7.4
2751,1371,24,3,5.7
2752,1371,25,3,9.2
2753,1371,26,3,7.6
2754,1371,27,3,9.6
2755,1371,28,3,11.0
2756,1371,29,3,9.2
2757,1371,30,3,9.2
2758,1371,31,3,6.1
4061,1371,1,4,7.2
4062,1371,2,4,7.0
4063,1371,3,4,8.0
4064,1371,4,4,8.0
4065,1371,5,4,7.0
4066,1371,6,4,7.0
4067,1371,7,4,5.3
4068,1371,8,4,8.0
4069,1371,9,4,6.1
4070,1371,10,4,8.7
4071,1371,11,4,6.3
4072,1371,12,4,8.3
4073,1371,13,4,7.9
4074,1371,14,4,8.3
4075,1371,15,4,7.4
4076,1371,16,4,7.4
4077,1371,17,4,8.0
4078,1371,18,4,7.9
4079,1371,19,4,9.0
4080,1371,20,4,7.3
4081,1371,21,4,8.3
4082,1371,22,4,7.0
4083,1371,23,4,8.3
4084,1371,24,4,7.2
4085,1371,25,4,8.2
4086,1371,26,4,8.1
4087,1371,27,4,7.7
4088,1371,28,4,11.6
4089,1371,29,4,6.7
4090,1371,30,4,11.3
4091,1371,31,4,9.2
5394,1371,1,5,9.0
5395,1371,2,5,7.6
5396,1371,3,5,7.4
5397,1371,4,5,7.5
5398,1371,5,5,8.2
5399,1371,6,5,6.6
5400,1371,7,5,7.4
5401,1371,8,5,7.0
5402,1371,9,5,7.0
5403,1371,10,5,7.0
5404,1371,11,5,7.0
5405,1371,12,5,7.9
5406,1371,13,5,8.8
5407,1371,14,5,7.9
5408,1371,15,5,8.3
5409,1371,16,5,7.9
5410,1371,17,5,7.9
5411,1371,18,5,7.9
5412,1371,19,5,7.8
5413,1371,20,5,8.6
5414,1371,21,5,7.5
5415,1371,22,5,7.4
5416,1371,23,5,7.9
5417,1371,24,5,7.9
5418,1371,25,5,7.9
5419,1371,26,5,7.9
5420,1371,27,5,7.9
5421,1371,28,5,8.8
5422,1371,29,5,8.6
5423,1371,30,5,7.4
5424,1371,31,5,7.9
6727,1371,1,6,7.4
6728,1371,2,6,7.9
6729,1371,3,6,7.0
6730,1371,4,6,5.6
6731,1371,5,6,6.0
6732,1371,6,6,5.7
6733,1371,7,6,5.2
6734,1371,8,6,5.1
6735,1371,9,6,4.7
6736,1371,10,6,6.5
6737,1371,11,6,6.9
6738,1371,12,6,5.6
6739,1371,13,6,7.2
6740,1371,14,6,7.0
6741,1371,15,6,7.6
6742,1371,16,6,7.3
6743,1371,17,6,7.2
6744,1371,18,6,7.3
6745,1371,19,6,5.4
6746,1371,20,6,7.2
6747,1371,21,6,7.2
6748,1371,22,6,6.6
6749,1371,23,6,6.0
6750,1371,24,6,6.2
6751,1371,25,6,7.4
6752,1371,26,6,7.4
6753,1371,27,6,6.8
6754,1371,28,6,6.8
6755,1371,29,6,4.4
6756,1371,30,6,4.5
6757,1371,31,6,5.1
8060,1371,1,7,6.1
8061,1371,2,7,7.0
8062,1371,3,7,7.9
8063,1371,4,7,6.6
8064,1371,5,7,6.1
8065,1371,6,7,6.6
8066,1371,7,7,4.8
8067,1371,8,7,5.7
8068,1371,9,7,3.9
8069,1371,10,7,4.8
8070,1371,11,7,4.4
8071,1371,12,7,4.4
8072,1371,13,7,4.8
8073,1371,14,7,4.8
8074,1371,15,7,6.6
8075,1371,16,7,4.5
8076,1371,17,7,4.1
8077,1371,18,7,5.2
8078,1371,19,7,5.4
8079,1371,20,7,3.9
8080,1371,21,7,5.2
8081,1371,22,7,3.5
8082,1371,23,7,3.9
8083,1371,24,7,3.1
8084,1371,25,7,3.5
8085,1371,26,7,3.1
8086,1371,27,7,3.7
8087,1371,28,7,2.9
8088,1371,29,7,3.1
8089,1371,30,7,2.9
8090,1371,31,7,
9393,1371,1,8,3.8
9394,1371,2,8,5.1
9395,1371,3,8,4.8
9396,1371,4,8,6.1
9397,1371,5,8,3.9
9398,1371,6,8,4.5
9399,1371,7,8,4.4
9400,1371,8,8,3.1
9401,1371,9,8,2.9
9402,1371,10,8,4.4
9403,1371,11,8,2.6
9404,1371,12,8,2.2
9405,1371,13,8,2.4
9406,1371,14,8,2.4
9407,1371,15,8,3.1
9408,1371,16,8,5.0
9409,1371,17,8,0.4
9410,1371,18,8,0.9
9411,1371,19,8,1.9
9412,1371,20,8,5.0
9413,1371,21,8,3.7
9414,1371,22,8,1.7
9415,1371,23,8,3.5
9416,1371,24,8,1.0
9417,1371,25,8,2.1
9418,1371,26,8,1.9
9419,1371,27,8,1.1
9420,1371,28,8,0.5
9421,1371,29,8,0.5
9422,1371,30,8,1.1
9423,1371,31,8,
10726,1371,1,9,0.1
10727,1371,2,9,0.5
10728,1371,3,9,2.1
10729,1371,4,9,1.5
10730,1371,5,9,0.1
10731,1371,6,9,0.1
10732,1371,7,9,0.1
10733,1371,8,9,0.1
10734,1371,9,9,0.1
10735,1371,10,9,0.1
10736,1371,11,9,0.1
10737,1371,12,9,0.1
10738,1371,13,9,0.1
10739,1371,14,9,0.1
10740,1371,15,9,0.1
10741,1371,16,9,0.1
10742,1371,17,9,0.1
10743,1371,18,9,0.1
10744,1371,19,9,0.1
10745,1371,20,9,0.1
10746,1371,21,9,0.1
10747,1371,22,9,0.1
10748,1371,23,9,0.1
10749,1371,24,9,0.1
10750,1371,25,9,0.1
10751,1371,26,9,0.1
10752,1371,27,9,0.1
10753,1371,28,9,0.1
10754,1371,29,9,0.1
10755,1371,30,9,0.1
10756,1371,31,9,
12059,1371,1,10,0.1
12060,1371,2,10,0.1
12061,1371,3,10,0.1
12062,1371,4,10,0.1
12063,1371,5,10,0.1
12064,1371,6,10,0.1
12065,1371,7,10,0.1
12066,1371,8,10,0.1
